"﻿""Donorregistratie""","""Perioden""","""Regio's""","""Donorregister, vastgelegde keuze (x 1 000)""" 
"""Totaal wel of niet geregistreerd""","""2020""","""Nunspeet""","23,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Nunspeet""","23,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Oegstgeest""","20,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Oegstgeest""","21,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Oegstgeest""","21,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Oirschot""","16,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Oirschot""","16,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Oirschot""","16,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Oisterwijk""","28,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Oisterwijk""","28,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Oisterwijk""","28,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Oldambt""","34,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Oldambt""","34,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Oldambt""","34,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Oldebroek""","20,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Oldebroek""","20,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Oldebroek""","20,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Oldenzaal""","27,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Oldenzaal""",28
"""Totaal wel of niet geregistreerd""","""2021*""","""Oldenzaal""",28
"""Totaal wel of niet geregistreerd""","""2019""","""Olst-Wijhe""",16
"""Totaal wel of niet geregistreerd""","""2020""","""Olst-Wijhe""","16,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Olst-Wijhe""","16,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Ommen""","15,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Ommen""","15,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Ommen""",16
"""Totaal wel of niet geregistreerd""","""2019""","""Oost Gelre""","26,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Oost Gelre""","26,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Oost Gelre""","26,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Oosterhout""","48,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Oosterhout""","49,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Oosterhout""","49,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Ooststellingwerf""","22,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Ooststellingwerf""","22,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Ooststellingwerf""","22,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Oostzaan""","8,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Oostzaan""","8,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Oostzaan""","8,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Opmeer""","10,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Opmeer""","10,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Opmeer""","10,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Opsterland""","26,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Opsterland""","26,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Opsterland""","26,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Oss""","80,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Oss""","80,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Oss""","81,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Oude IJsselstreek""","35,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Oude IJsselstreek""","35,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Oude IJsselstreek""","35,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Ouder-Amstel""","12,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Ouder-Amstel""","12,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Ouder-Amstel""","12,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Oudewater""","8,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Oudewater""","8,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Oudewater""","8,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Overbetuwe""","41,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Overbetuwe""","41,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Overbetuwe""","41,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Papendrecht""","28,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Papendrecht""","28,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Papendrecht""","28,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Peel en Maas""","38,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Peel en Maas""","38,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Peel en Maas""","38,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Pekela""","10,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Pekela""","10,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Pekela""","10,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Pijnacker-Nootdorp""",46
"""Totaal wel of niet geregistreerd""","""2020""","""Pijnacker-Nootdorp""",47
"""Totaal wel of niet geregistreerd""","""2021*""","""Pijnacker-Nootdorp""","47,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Purmerend""","70,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Purmerend""","71,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Purmerend""","72,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Putten""","20,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Putten""","20,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Putten""","21,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Raalte""","32,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Raalte""","33,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Raalte""","33,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Reimerswaal""","18,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Reimerswaal""",19
"""Totaal wel of niet geregistreerd""","""2021*""","""Reimerswaal""","19,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Renkum""","27,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Renkum""","28,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Renkum""","28,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Renswoude""","4,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Renswoude""","4,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Renswoude""","4,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Reusel-De Mierden""","11,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Reusel-De Mierden""","11,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Reusel-De Mierden""","11,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Rheden""","38,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Rheden""","39,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Rheden""","38,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Rhenen""","17,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Rhenen""","17,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Rhenen""","17,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Ridderkerk""","40,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Ridderkerk""","40,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Ridderkerk""","40,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Rijssen-Holten""","32,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Rijssen-Holten""","32,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Rijssen-Holten""","32,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Rijswijk (ZH.)""","46,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Rijswijk (ZH.)""","46,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Rijswijk (ZH.)""","47,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Roerdalen""","18,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Roerdalen""","18,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Roerdalen""","18,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Roermond""","51,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Roermond""","51,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Roermond""","52,1"
"""Totaal wel of niet geregistreerd""","""2019""","""De Ronde Venen""","38,8"
"""Totaal wel of niet geregistreerd""","""2020""","""De Ronde Venen""","39,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""De Ronde Venen""","39,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Roosendaal""","67,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Roosendaal""","68,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Roosendaal""","68,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Rotterdam""","559,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Rotterdam""","565,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Rotterdam""",568
"""Totaal wel of niet geregistreerd""","""2019""","""Rozendaal""","1,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Rozendaal""","1,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Rozendaal""","1,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Rucphen""","20,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Rucphen""","20,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Rucphen""","20,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Schagen""","41,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Schagen""","41,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Schagen""","41,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Scherpenzeel""","8,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Scherpenzeel""","8,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Scherpenzeel""","8,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Schiedam""",68
"""Totaal wel of niet geregistreerd""","""2020""","""Schiedam""","68,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Schiedam""","69,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Schiermonnikoog""","0,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Schiermonnikoog""","0,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Schiermonnikoog""","0,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Schouwen-Duiveland""","30,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Schouwen-Duiveland""","30,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Schouwen-Duiveland""","30,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Simpelveld""","9,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Simpelveld""","9,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Simpelveld""","9,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Sint Anthonis""","10,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Sint Anthonis""","10,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Sint Anthonis""","10,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Sint-Michielsgestel""","25,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Sint-Michielsgestel""","25,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Sint-Michielsgestel""","25,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Sittard-Geleen""","83,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Sittard-Geleen""","83,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Sittard-Geleen""","82,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Sliedrecht""","21,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Sliedrecht""","21,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Sliedrecht""","21,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Sluis""","21,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Sluis""","20,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Sluis""","20,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Smallingerland""","48,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Smallingerland""","49,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Smallingerland""","49,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Soest""","40,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Soest""","40,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Soest""","41,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Someren""","17,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Someren""","17,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Someren""","17,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Son en Breugel""","14,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Son en Breugel""",15
"""Totaal wel of niet geregistreerd""","""2021*""","""Son en Breugel""","15,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Stadskanaal""","28,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Stadskanaal""","28,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Stadskanaal""","28,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Staphorst""","13,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Staphorst""","14,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Staphorst""","14,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Stede Broec""","18,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Stede Broec""",19
"""Totaal wel of niet geregistreerd""","""2021*""","""Stede Broec""",19
"""Totaal wel of niet geregistreerd""","""2019""","""Steenbergen""","22,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Steenbergen""","21,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Steenbergen""","21,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Steenwijkerland""","38,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Steenwijkerland""","38,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Steenwijkerland""",39
"""Totaal wel of niet geregistreerd""","""2019""","""Stein (L.)""","22,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Stein (L.)""","22,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Stein (L.)""","22,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Stichtse Vecht""","55,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Stichtse Vecht""","56,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Stichtse Vecht""","56,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Súdwest-Fryslân""","78,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Súdwest-Fryslân""","78,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Súdwest-Fryslân""","79,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Terneuzen""","48,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Terneuzen""","48,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Terneuzen""","48,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Terschelling""","4,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Terschelling""","4,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Terschelling""","4,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Texel""","12,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Texel""","12,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Texel""","12,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Teylingen""","32,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Teylingen""","32,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Teylingen""","33,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Tholen""",22
"""Totaal wel of niet geregistreerd""","""2020""","""Tholen""",22
"""Totaal wel of niet geregistreerd""","""2021*""","""Tholen""","22,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Tiel""","36,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Tiel""","37,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Tiel""","36,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Tilburg""","192,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Tilburg""","195,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Tilburg""","196,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Tubbergen""","18,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Tubbergen""","18,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Tubbergen""","18,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Twenterand""",29
"""Totaal wel of niet geregistreerd""","""2020""","""Twenterand""","29,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Twenterand""","29,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Tynaarlo""","29,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Tynaarlo""","29,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Tynaarlo""","29,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Tytsjerksteradiel""","27,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Tytsjerksteradiel""",28
"""Totaal wel of niet geregistreerd""","""2021*""","""Tytsjerksteradiel""","28,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Uden""","36,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Uden""","37,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Uden""","37,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Uitgeest""","11,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Uitgeest""","11,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Uitgeest""","11,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Uithoorn""","25,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Uithoorn""","25,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Uithoorn""","26,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Urk""",16
"""Totaal wel of niet geregistreerd""","""2020""","""Urk""","16,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Urk""","16,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Utrecht (gemeente)""","303,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Utrecht (gemeente)""",308
"""Totaal wel of niet geregistreerd""","""2021*""","""Utrecht (gemeente)""","310,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Utrechtse Heuvelrug""","43,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Utrechtse Heuvelrug""","43,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Utrechtse Heuvelrug""","43,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Vaals""","9,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Vaals""","9,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Vaals""","9,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Valkenburg aan de Geul""","15,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Valkenburg aan de Geul""",15
"""Totaal wel of niet geregistreerd""","""2021*""","""Valkenburg aan de Geul""",15
"""Totaal wel of niet geregistreerd""","""2019""","""Valkenswaard""","27,7"
"""Totaal wel of niet geregistreerd""","""2020""","""Valkenswaard""","27,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Valkenswaard""","27,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Veendam""","24,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Veendam""","24,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Veendam""","24,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Veenendaal""",56
"""Totaal wel of niet geregistreerd""","""2020""","""Veenendaal""","56,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Veenendaal""","57,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Veere""","19,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Veere""","19,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Veere""","19,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Veldhoven""","39,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Veldhoven""",40
"""Totaal wel of niet geregistreerd""","""2021*""","""Veldhoven""","40,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Velsen""","60,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Velsen""","60,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Velsen""","60,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Venlo""",90
"""Totaal wel of niet geregistreerd""","""2020""","""Venlo""","90,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Venlo""","90,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Venray""","38,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Venray""","38,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Venray""","38,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Vijfheerenlanden""","48,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Vijfheerenlanden""","49,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Vijfheerenlanden""","49,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Vlaardingen""",63
"""Totaal wel of niet geregistreerd""","""2020""","""Vlaardingen""","63,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Vlaardingen""","64,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Vlieland""",1
"""Totaal wel of niet geregistreerd""","""2020""","""Vlieland""","1,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Vlieland""","1,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Vlissingen""","39,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Vlissingen""","39,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Vlissingen""","39,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Voerendaal""","11,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Voerendaal""","11,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Voerendaal""","11,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Voorschoten""",22
"""Totaal wel of niet geregistreerd""","""2020""","""Voorschoten""","22,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Voorschoten""","22,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Voorst""","21,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Voorst""","21,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Voorst""","21,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Vught""",27
"""Totaal wel of niet geregistreerd""","""2020""","""Vught""","27,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Vught""","27,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Waadhoeke""","40,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Waadhoeke""","40,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Waadhoeke""","40,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Waalre""",15
"""Totaal wel of niet geregistreerd""","""2020""","""Waalre""","15,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Waalre""","15,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Waalwijk""","42,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Waalwijk""","42,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Waalwijk""",43
"""Totaal wel of niet geregistreerd""","""2019""","""Waddinxveen""","24,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Waddinxveen""",25
"""Totaal wel of niet geregistreerd""","""2021*""","""Waddinxveen""","25,9"
"""Totaal wel of niet geregistreerd""","""2019""","""Wageningen""","34,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Wageningen""","35,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Wageningen""","35,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Wassenaar""","22,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Wassenaar""","23,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Wassenaar""","23,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Waterland""","15,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Waterland""","15,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Waterland""","15,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Weert""","44,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Weert""","44,7"
"""Totaal wel of niet geregistreerd""","""2021*""","""Weert""","44,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Weesp""","16,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Weesp""",17
"""Totaal wel of niet geregistreerd""","""2021*""","""Weesp""","17,4"
"""Totaal wel of niet geregistreerd""","""2019""","""West Betuwe""","43,9"
"""Totaal wel of niet geregistreerd""","""2020""","""West Betuwe""","44,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""West Betuwe""","44,8"
"""Totaal wel of niet geregistreerd""","""2019""","""West Maas en Waal""","16,9"
"""Totaal wel of niet geregistreerd""","""2020""","""West Maas en Waal""","17,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""West Maas en Waal""","17,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Westerkwartier""","54,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Westerkwartier""","54,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Westerkwartier""","55,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Westerveld""","17,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Westerveld""","17,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Westerveld""","17,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Westervoort""","13,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Westervoort""","13,2"
"""Totaal wel of niet geregistreerd""","""2021*""","""Westervoort""","13,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Westerwolde""","22,5"
"""Totaal wel of niet geregistreerd""","""2020""","""Westerwolde""","22,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Westerwolde""","23,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Westland""","94,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Westland""","95,9"
"""Totaal wel of niet geregistreerd""","""2021*""","""Westland""","96,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Weststellingwerf""","22,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Weststellingwerf""","22,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Weststellingwerf""","23,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Westvoorne""","13,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Westvoorne""","13,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Westvoorne""","13,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Wierden""",21
"""Totaal wel of niet geregistreerd""","""2020""","""Wierden""","21,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Wierden""","21,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Wijchen""","36,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Wijchen""","36,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Wijchen""","36,5"
"""Totaal wel of niet geregistreerd""","""2019""","""Wijdemeren""","21,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Wijdemeren""","21,5"
