"﻿""Donorregistratie""","""Perioden""","""Regio's""","""Donorregister, vastgelegde keuze (x 1 000)"""
"""Totaal wel of niet geregistreerd""","""2021*""","""Beesel""",12
"""Totaal wel of niet geregistreerd""","""2019""","""Berg en Dal""","31,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Berg en Dal""","31,4"
"""Totaal wel of niet geregistreerd""","""2021*""","""Berg en Dal""","31,4"
"""Totaal wel of niet geregistreerd""","""2019""","""Bergeijk""","16,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Bergeijk""","16,6"
"""Totaal wel of niet geregistreerd""","""2021*""","""Bergeijk""","16,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Bergen (L.)""","11,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Bergen (L.)""","11,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Bergen (L.)""","11,8"
"""Totaal wel of niet geregistreerd""","""2019""","""Bergen (NH.)""","27,4"
"""Totaal wel of niet geregistreerd""","""2020""","""Bergen (NH.)""","27,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Bergen (NH.)""","27,2"
"""Totaal wel of niet geregistreerd""","""2019""","""Bergen op Zoom""",59
"""Totaal wel of niet geregistreerd""","""2020""","""Bergen op Zoom""","59,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Bergen op Zoom""","59,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Berkelland""","39,2"
"""Totaal wel of niet geregistreerd""","""2020""","""Berkelland""","39,1"
"""Totaal wel of niet geregistreerd""","""2021*""","""Berkelland""","39,3"
"""Totaal wel of niet geregistreerd""","""2019""","""Bernheze""","27,1"
"""Totaal wel of niet geregistreerd""","""2020""","""Bernheze""","27,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Bernheze""","27,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Best""","26,3"
"""Totaal wel of niet geregistreerd""","""2020""","""Best""","26,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""Best""","26,7"
"""Totaal wel of niet geregistreerd""","""2019""","""Beuningen""","22,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Beuningen""","22,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Beuningen""",23
"""Totaal wel of niet geregistreerd""","""2019""","""Beverwijk""","35,9"
"""Totaal wel of niet geregistreerd""","""2020""","""Beverwijk""","36,3"
"""Totaal wel of niet geregistreerd""","""2021*""","""Beverwijk""","36,6"
"""Totaal wel of niet geregistreerd""","""2019""","""De Bilt""","37,2"
"""Totaal wel of niet geregistreerd""","""2020""","""De Bilt""","37,5"
"""Totaal wel of niet geregistreerd""","""2021*""","""De Bilt""","37,6"
"""Totaal wel of niet geregistreerd""","""2019""","""Bladel""","17,8"
"""Totaal wel of niet geregistreerd""","""2020""","""Bladel""",18
"""Totaal wel of niet geregistreerd""","""2021*""","""Bladel""","18,1"
"""Totaal wel of niet geregistreerd""","""2019""","""Blaricum""","9,6"
"""Totaal wel of niet geregistreerd""","""2020""","""Blaricum""","9,8"
"""Totaal wel of niet geregistreerd""","""2021*""","""Blaricum""","10,1"
