"Status cijfer";"Perioden";"Regio's";"Inwoners naar geslacht en leeftijd/Mannen/Totaal mannen (aantal)";"Inwoners naar geslacht en leeftijd/Mannen/Jonger dan 20 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Mannen/20 tot 65 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Mannen/65 tot 75 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Mannen/75 tot 85 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Mannen/85 jaar of ouder (aantal)";"Inwoners naar geslacht en leeftijd/Vrouwen/Totaal vrouwen (aantal)";"Inwoners naar geslacht en leeftijd/Vrouwen/Jonger dan 20 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Vrouwen/20 tot 65 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Vrouwen/65 tot 75 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Vrouwen/75 tot 85 jaar (aantal)";"Inwoners naar geslacht en leeftijd/Vrouwen/85 jaar of ouder (aantal)";"Minderheden (aantal)";"Banen van werknemers (x 1 000)";"Provinciale wegen (km)";"Inwoners in zorginstellingen (aantal)"
"Definitief";"2019";"Aa en Hunze";12659;2623;6912;1952;941;231;12727;2418;6820;1959;1079;451;300;;;520
"Definitief";"2020";"Aa en Hunze";12708;2621;6882;2001;965;239;12737;2384;6821;1971;1090;471;290;;;520
"Definitief";"2021";"Aa en Hunze";12709;2577;6831;2032;1016;253;12690;2314;6795;1992;1103;486;255;;;490
"Definitief";"2019";"Aalburg";;;;;;;;;;;;;;;;
"Definitief";"2020";"Aalburg";;;;;;;;;;;;;;;;
"Definitief";"2021";"Aalburg";;;;;;;;;;;;;;;;
"Definitief";"2019";"Aalsmeer";15694;3973;9031;1585;869;236;16034;3795;9099;1628;1035;477;1460;;;360
"Definitief";"2020";"Aalsmeer";15815;3969;9070;1591;938;247;16044;3754;9154;1587;1057;492;1480;;;360
"Definitief";"2021";"Aalsmeer";15913;3923;9184;1584;950;272;16078;3705;9186;1610;1084;493;1550;;;340
"Definitief";"2019";"Aalten";13559;3109;7686;1680;888;196;13452;2870;7382;1683;1044;473;570;;;460
"Definitief";"2020";"Aalten";13649;3066;7750;1701;938;194;13472;2840;7353;1753;1049;477;585;;;470
"Definitief";"2021";"Aalten";13655;3042;7718;1714;966;215;13465;2789;7374;1770;1061;471;575;;;470
"Definitief";"2019";"Abcoude";;;;;;;;;;;;;;;;
"Definitief";"2020";"Abcoude";;;;;;;;;;;;;;;;
"Definitief";"2021";"Abcoude";;;;;;;;;;;;;;;;
"Definitief";"2019";"Achtkarspelen";14167;3603;7994;1688;721;161;13685;3225;7572;1603;916;369;290;;;240
"Definitief";"2020";"Achtkarspelen";14180;3573;7938;1719;780;170;13663;3181;7584;1574;955;369;280;;;230
"Definitief";"2021";"Achtkarspelen";14217;3499;7952;1731;851;184;13683;3156;7567;1619;958;383;225;;;240
"Definitief";"2019";"Alblasserdam";9853;2656;5439;991;590;177;10216;2533;5481;1075;790;337;1160;;;160
"Definitief";"2020";"Alblasserdam";9914;2651;5490;988;619;166;10251;2548;5493;1081;796;333;1190;;;160
"Definitief";"2021";"Alblasserdam";9897;2589;5502;1000;645;161;10239;2513;5502;1109;799;316;1175;;;150
"Definitief";"2019";"Albrandswaard";12518;3195;7320;1275;549;179;12753;2984;7436;1305;716;312;2345;;;570
"Definitief";"2020";"Albrandswaard";12677;3212;7398;1307;591;169;12913;3006;7512;1331;738;326;2475;;;410
"Definitief";"2021";"Albrandswaard";12807;3241;7420;1358;621;167;13007;3024;7564;1373;736;310;2525;;;660
"Definitief";"2019";"Alkemade";;;;;;;;;;;;;;;;
"Definitief";"2020";"Alkemade";;;;;;;;;;;;;;;;
"Definitief";"2021";"Alkemade";;;;;;;;;;;;;;;;
"Definitief";"2019";"Alkmaar";53695;11939;32189;6028;2755;784;54863;11078;32437;6514;3389;1445;8345;;;1020
"Definitief";"2020";"Alkmaar";54150;11904;32323;6153;2970;800;55286;11071;32542;6620;3547;1506;8440;;;1100
"Definitief";"2021";"Alkmaar";54355;11761;32410;6301;3059;824;55541;10933;32607;6838;3666;1497;8225;;;1090
"Definitief";"2019";"Almelo";36421;8449;21481;3994;1996;501;36428;8035;20713;4163;2414;1103;7925;;;890
"Definitief";"2020";"Almelo";36592;8380;21536;4028;2113;535;36515;7929;20764;4216;2505;1101;7860;;;990
"Definitief";"2021";"Almelo";36643;8255;21660;4011;2185;532;36489;7744;20782;4297;2564;1102;7720;;;1030
"Definitief";"2019";"Almere";103082;27127;64604;8032;2607;712;104822;26071;66668;7649;3155;1279;43910;;;1650
"Definitief";"2020";"Almere";105130;27383;65650;8599;2770;728;106763;26205;67764;8148;3343;1303;45205;;;1710
"Definitief";"2021";"Almere";106523;27392;66309;9189;2897;736;108192;26228;68441;8775;3426;1322;45015;;;1820
"Definitief";"2019";"Alphen aan den Rijn";55283;12974;32587;6140;2828;754;55703;12543;32050;6306;3426;1378;7755;;;1320
"Definitief";"2020";"Alphen aan den Rijn";55741;12860;32898;6200;3054;729;56156;12439;32304;6454;3533;1426;7830;;;1400
"Definitief";"2021";"Alphen aan den Rijn";56099;12743;33132;6280;3175;769;56488;12266;32496;6645;3662;1419;7725;;;1500
"Definitief";"2019";"Alphen-Chaam";5194;1117;2938;677;381;81;4955;1014;2794;649;355;143;125;;;120
"Definitief";"2020";"Alphen-Chaam";5204;1102;2919;718;387;78;4999;1021;2797;661;364;156;120;;;100
"Definitief";"2021";"Alphen-Chaam";5268;1111;2940;731;392;94;5105;1008;2876;666;388;167;110;;;110
"Definitief";"2019";"Altena";27876;7009;15804;3195;1525;343;27510;6483;15341;3183;1756;747;710;;;710
"Definitief";"2020";"Altena";28163;6982;15939;3240;1620;382;27804;6466;15495;3269;1825;749;715;;;700
"Definitief";"2021";"Altena";28363;6938;16090;3293;1648;394;27989;6431;15611;3332;1860;755;685;;;680
"Definitief";"2019";"Ameland";1819;376;1058;239;124;22;1854;373;1038;264;130;49;10;;;30
"Definitief";"2020";"Ameland";1843;371;1077;238;130;27;1873;371;1036;268;146;52;10;;;30
"Definitief";"2021";"Ameland";1885;384;1084;238;145;34;1861;355;1036;249;169;52;0;;;40
"Definitief";"2019";"Amersfoort";77037;20131;46649;6517;2867;873;79249;19023;47505;6936;3869;1916;16255;;;1930
"Definitief";"2020";"Amersfoort";77654;19894;47135;6688;3039;898;79622;18895;47687;7118;3992;1930;16455;;;1940
"Definitief";"2021";"Amersfoort";77807;19533;47352;6887;3134;901;79655;18586;47723;7321;4086;1939;16065;;;1990
"Definitief";"2019";"Amstelveen";43650;10570;25677;4138;2373;892;47188;10215;26975;4776;3308;1914;7265;;;740
"Definitief";"2020";"Amstelveen";44125;10808;25799;4175;2441;902;47550;10232;27220;4770;3393;1935;7545;;;800
"Definitief";"2021";"Amstelveen";43779;10825;25341;4264;2423;926;47050;10186;26682;4869;3417;1896;7565;;;780
"Definitief";"2019";"Amsterdam";427787;84650;293245;32381;13891;3620;435178;81805;295285;33612;16986;7490;208335;;;10040
"Definitief";"2020";"Amsterdam";432879;84699;296621;33371;14510;3678;439878;81945;298533;34506;17522;7372;209325;;;10640
"Definitief";"2021";"Amsterdam";433550;83732;296961;34324;14795;3738;439788;80873;298343;35504;17790;7278;205390;;;11050
"Definitief";"2019";"Andijk";;;;;;;;;;;;;;;;
"Definitief";"2020";"Andijk";;;;;;;;;;;;;;;;
"Definitief";"2021";"Andijk";;;;;;;;;;;;;;;;
"Definitief";"2019";"Anna Paulowna";;;;;;;;;;;;;;;;
"Definitief";"2020";"Anna Paulowna";;;;;;;;;;;;;;;;
"Definitief";"2021";"Anna Paulowna";;;;;;;;;;;;;;;;
"Definitief";"2019";"Apeldoorn";80880;18614;46944;9410;4620;1292;81565;17060;46131;10033;5654;2687;8705;;;3480
"Definitief";"2020";"Apeldoorn";81632;18511;47312;9644;4861;1304;82186;17037;46432;10150;5865;2702;8940;;;3630
"Definitief";"2021";"Apeldoorn";82157;18382;47611;9802;5043;1319;82624;16915;46683;10398;5971;2657;8940;;;3520
"Definitief";"2019";"Appingedam";5720;1257;3151;797;409;106;6001;1164;3251;831;540;215;600;;;250
